name,rating,vicinity,user_ratings_total
青年公園,4.3,萬華區水源路199號,12023
北投焚化爐景觀台,4.1,北投區洲美街271號號,645
清溪綠地,4.2,文山區政大一街,214
國民革命忠烈祠(臺北忠烈祠),4.3,中山區北安路139號,3958
山水綠生態公園,4.2,南港區南深路37號,1088
新榮公園,3.9,文山區木新路二段111巷12弄,50
永康公園,4.1,大安區永康街,3900
九如綠地,4.2,南港區研究院路二段134巷14號,91
石潭公園,4.0,內湖區成功路二段,491
健行公園,4.2,北投區致遠三路147巷4弄18號,25
富民生態公園,4.3,松山區新東街41-7號,527
台北市客家文化主題公園,4.0,中正區汀州路三段2號,3669
信義公民會館 社區館,4.2,信義區松勤街50號,273
九如公園,4.0,南港區,256
胡適紀念館,4.5,南港區研究院路二段130號,175
榮光公園,4.0,北投區,341
天福公園,3.8,士林區忠誠路二段154巷15號,331
騎士堡-台北小美人魚的家,4.3,"1F, No. 2號, 南京東路四段, 松山區",1146
臺北典藏植物園,4.4,中山區濱江街16號,868
臺北市立動物園無尾熊館,4.6,文山區新光路二段30號,288
四獸山市民森林碑,4.4,信義區福德街251巷36號,335
二二八和平公園,4.2,中正區,18908
西門紅樓,4.2,萬華區成都路10號,13709
壽德公園,3.5,萬華區萬青街118巷,35
文間山,3.9,士林區信輝路1號,167
妙侊寺,4.3,士林區至善路一段138巷24弄8號,123
玫瑰古蹟—蔡瑞月舞蹈研究社,4.3,中山區中山北路二段48巷10號,291
